Country,value
Afghanistan,0.3650837183002977
Africa,1.0
Akrotiri and Dhekelia,0.0
Aland Islands,0.0
Albania,0.5744773783993682
Algeria,0.527738359298766
American Samoa,0.0
Andorra,0.0
Angola,0.9090298311056748
Anguilla,0.0
Antigua and Barbuda,0.0
Argentina,0.7761462263303677
Armenia,0.41369163293157923
Aruba,0.0
Asia,0.8877381031106041
Australia,0.8977402260393593
Austria,0.38303826214462494
Azerbaijan,0.500636573751014
Bahamas,0.5355669018646482
Bahrain,0.0
Bangladesh,0.6281733115511756
Barbados,0.0
Belarus,0.4588269268864705
Belgium,0.0
Belize,0.6154417006965356
Benin,0.7068052160144622
Bermuda,0.0
Bhutan,0.4900900034890011
Bolivia,0.8646137267753335
Bonaire Sint Eustatius and Saba,0.2644261749296523
Bosnia and Herzegovina,0.5410690598169093
Botswana,0.7158221944821823
Bouvet Island,0.0
Brazil,0.9155141460003805
British Indian Ocean Territory,0.0
British Virgin Islands,0.0
Brunei,0.37500553890474375
Bulgaria,0.5645900438083589
Burkina Faso,0.766405691269711
Burundi,0.5676472814690269
Cambodia,0.7725842436756288
Cameroon,0.776847767603731
Canada,0.8038922068071839
Cape Verde,0.0
Cayman Islands,0.0
Central African Republic,0.8531521820477062
Chad,0.789420045450283
Chile,0.6439018147897234
China,0.7733227989535274
Christmas Island,0.0
Cocos Islands,0.0
Colombia,0.7534015735706158
Comoros,0.46569364655543005
Congo,0.7577601141459092
Cook Islands,0.0
Costa Rica,0.6025531754724786
Cote d'Ivoire,0.7487030934174568
Croatia,0.48777278590473644
Cuba,0.6808827857159426
Curacao,0.0
Cyprus,0.39389713216638783
Czechia,0.281611295378489
Democratic Republic of Congo,0.9164709245185951
Denmark,0.0
Djibouti,0.0
Dominica,0.0
Dominican Republic,0.5515914541713499
East Timor,0.5133553176370076
Ecuador,0.6617117436407488
Egypt,0.5021809224557473
El Salvador,0.5219612556148071
Equatorial Guinea,0.43564686871742714
Eritrea,0.46296786682562874
Estonia,0.0
Eswatini,0.6043167927781349
Ethiopia,0.7871108072559748
Europe,0.857332578376926
European Union (27),0.6858082950426244
Falkland Islands,0.2548738401225805
Faroe Islands,0.0
Fiji,0.5332578109272499
Finland,0.3800424415771219
France,0.499780219510846
French Guiana,0.5275637314907167
French Polynesia,0.0
French Southern Territories,0.0
Gabon,0.6443300035728233
Gambia,0.6175547407763777
Georgia,0.515878163141627
Germany,0.4592645785420726
Ghana,0.7998249001568767
Gibraltar,0.0
Greece,0.5652984098141274
Greenland,0.0
Grenada,0.0
Guadeloupe,0.0
Guam,0.33977796764469337
Guatemala,0.698627878983456
Guernsey,0.0
Guinea,0.8145927708918452
Guinea-Bissau,0.6692764606140548
Guyana,0.6884435800243758
Haiti,0.4944088858246211
Heard Island and McDonald Islands,0.0
Honduras,0.7208351729744503
Hong Kong,0.2743964076712521
Hungary,0.42593483747209654
Iceland,0.5517390871804223
India,0.7890433978223388
Indonesia,0.7283099432256344
Iran,0.6808629978169324
Iraq,0.6549602475392844
Ireland,0.33416844855336536
Isle of Man,0.0
Israel,0.4595847196501009
Italy,0.588289226025049
Jamaica,0.4537359312497568
Japan,0.4532232373416218
Jersey,0.0
Jordan,0.3052793277644623
Kazakhstan,0.6534625773464653
Kenya,0.6462032561867983
